ard_millis,GPS Epoch Time,lat (deg),lat (min), long (deg),long (min),el (m),SOG (mm/s),COG (deg*1000),Vert Vel (mm/s)
391401,1489675504.60,-122,-2949040,37,3032938,-31.76,12308,76360,-329
391804,1489675505.00,-122,-2948715,37,3032995,-31.76,12311,77840,-175
392202,1489675505.40,-122,-2948388,37,3033050,-31.72,12335,77560,-206
392601,1489675505.80,-122,-2948061,37,3033111,-31.72,12358,76150,-132
392996,1489675506.20,-122,-2947733,37,3033170,-31.57,12476,77380,-27
393396,1489675506.60,-122,-2947409,37,3033229,-31.21,12375,77050,-84
393797,1489675507.00,-122,-2947087,37,3033292,-31.15,12392,75080,-118
394192,1489675507.40,-122,-2946757,37,3033354,-30.78,12692,76610,50
394594,1489675507.80,-122,-2946431,37,3033416,-30.37,12618,75930,-64
394991,1489675508.20,-122,-2946106,37,3033479,-30.19,12553,75840,-150
395390,1489675508.60,-122,-2945782,37,3033542,-30.17,12292,76000,-102
395796,1489675509.00,-122,-2945463,37,3033597,-29.81,12259,76790,-59
396191,1489675509.40,-122,-2945152,37,3033651,-29.46,11870,76820,-71
396591,1489675509.80,-122,-2944840,37,3033709,-29.18,11987,76320,-27
396986,1489675510.20,-122,-2944530,37,3033759,-29.11,11733,78200,89
397385,1489675510.60,-122,-2944230,37,3033806,-29.09,11388,78480,13
397789,1489675511.00,-122,-2943934,37,3033851,-28.93,11144,78500,-40
398182,1489675511.40,-122,-2943644,37,3033895,-28.83,10926,78600,-71
398583,1489675511.80,-122,-2943357,37,3033938,-28.66,10717,78680,-182
398981,1489675512.20,-122,-2943076,37,3033978,-28.58,10466,78960,-156
399382,1489675512.60,-122,-2942808,37,3034015,-28.57,10098,78920,-111
399785,1489675513.00,-122,-2942550,37,3034055,-28.40,9824,77840,-192
400183,1489675513.40,-122,-2942299,37,3034097,-28.37,9474,77250,-307
400578,1489675513.80,-122,-2942047,37,3034142,-28.33,9550,75980,-272
400975,1489675514.20,-122,-2941797,37,3034181,-28.34,9398,78230,-134
401377,1489675514.60,-122,-2941549,37,3034212,-28.41,9157,80710,-115
401784,1489675515.00,-122,-2941301,37,3034230,-28.61,9187,85650,-128
402173,1489675515.40,-122,-2941058,37,3034258,-28.78,9017,81280,178
402575,1489675515.80,-122,-2940827,37,3034276,-28.34,8446,85240,-292
402970,1489675516.20,-122,-2940594,37,3034264,-28.51,8695,95170,54
403374,1489675516.60,-122,-2940368,37,3034223,-28.65,8643,103780,316
403775,1489675517.00,-122,-2940132,37,3034182,-29.01,8880,103190,365
404170,1489675517.40,-122,-2939889,37,3034145,-28.82,9271,104570,335
404570,1489675517.80,-122,-2939636,37,3034112,-27.84,9371,105470,146
404971,1489675518.20,-122,-2939402,37,3034058,-27.52,9380,107460,143
405368,1489675518.60,-122,-2939156,37,3034003,-27.24,9561,109000,144
405766,1489675519.00,-122,-2938905,37,3033938,-27.12,9836,109970,110
406167,1489675519.40,-122,-2938659,37,3033874,-26.82,9961,109750,72
406568,1489675519.80,-122,-2938402,37,3033807,-26.56,10200,109040,-30
406962,1489675520.20,-122,-2938127,37,3033750,-26.52,10350,108760,119
407363,1489675520.60,-122,-2937863,37,3033679,-26.32,10584,108950,-14
407764,1489675521.00,-122,-2937583,37,3033602,-26.43,10888,110760,-80
408158,1489675521.40,-122,-2937300,37,3033521,-26.55,11019,110260,15
